pin,household_id,zipcode,blockgroup,lat,lon,zone,liveyearround,liveparttime,everhit,howmanyhits,worry,timesevac,expectedmoreorless,evacuated,whenleft,advisedtogo,samechoice,evacpwithnote,evacpwithoutnote,yearborn,sex,hispanic,race,edu,income,ideology,party,elevation,milestocoast
14110026,10026,06405,1,41.26324,-72.842965,A,1,NA,1,2,3,0,3,2,NA,2,1,2,1,1928,1,2,3,3,4,3,1,13.21908855438232,0.2847689291045836
14110073,10073,06320,3,41.3106099999999,-72.0988239999999,A,1,NA,1,1,4,0,2,2,NA,1,1,2,2,1962,1,2,3,4,5,3,5,2.736275434494019,0.10569005990694014
14110097,10097,06405,4,41.2652349999999,-72.8252329999999,A,1,1,1,3,4,0,2,2,NA,2,1,5,4,1931,2,2,3,8,6,2,2,8.969582557678223,0.07776253289823631
14110130,10130,06615,1,41.154187,-73.1134179999999,A,1,1,1,3,6,1,4,2,NA,2,1,3,1,1950,1,2,3,7,5,3,3,7.976471424102783,0.20282878043296054
14110158,10158,06512,5,41.2694419999999,-72.8922469999999,A,1,1,1,2,1,0,1,2,NA,1,1,1,1,1948,1,2,3,6,5,3,2,5.31196117401123,0.10302703428585788
14110283,10283,06443,5,41.271396,-72.5909359999999,A,1,NA,1,5,4,0,3,2,NA,1,1,3,NA,1938,2,2,3,7,5,3,3,3.253564119338989,0.07866746515657833
14110306,10306,06512,1,41.262037,-72.866106,A,1,1,1,3,6,1,5,2,NA,3,2,5,1,1977,2,2,3,7,5,3,1,8.056736946105957,0.27932763463816607
14110460,10460,06605,2,41.151676,-73.2278529999999,A,1,1,1,5,4,0,5,2,NA,2,1,2,2,1964,2,2,3,8,5,3,1,6.001734256744385,0.20381289731177388
14110521,10521,06855,4,41.097606,-73.401936,A,1,1,1,1,3,0,2,2,NA,2,2,3,2,1976,1,1,4,5,3,1,3,5.759543418884277,0.1264985493944919
14110705,10705,06854,2,41.09104,-73.4129599999999,A,1,1,1,2,6,0,3,2,NA,1,1,2,2,1964,2,2,3,9,6,2,2,5.348647594451904,0.11241761986366387
14110795,10795,06475,1,41.2784669999999,-72.409665,A,1,1,1,2,7,2,5,1,1,1,1,5,NA,1937,2,2,3,5,5,3,1,2.050325632095337,0.037666569807867006
14110835,10835,06512,4,41.250827,-72.869213,A,1,NA,1,3,5,0,5,2,NA,2,1,2,2,1943,1,2,3,4,4,4,3,7.957511901855469,0.13807041806086284
14111009,11009,06512,3,41.252138,-72.875095,A,1,1,1,2,7,0,5,2,NA,2,1,5,2,1954,2,2,3,8,5,2,2,10.38617992401123,0.43458008740279563
14111195,11195,06405,1,41.263249,-72.843136,A,1,1,1,2,5,0,4,2,NA,2,2,4,2,1959,2,2,3,6,5,2,2,12.98907947540283,0.2872620161804461
14111263,11263,06824,2,41.118521,-73.262427,A,1,1,1,4,1,0,5,2,NA,1,1,5,5,1936,2,2,3,3,6,2,3,1.463587164878845,0.009189353201573582
14111356,11356,06870,2,41.026718,-73.565226,A,1,1,1,1,3,1,4,1,2,2,1,4,4,1963,1,2,3,9,6,4,3,7.47444486618042,0.2909292381184675
14111414,11414,06378,3,41.333562,-71.951395,A,2,1,1,2,3,1,4,1,1,1,2,3,3,1950,2,2,3,7,5,3,3,1.932546138763428,0.021489289526288324
14111533,11533,06376,4,41.29592,-72.2587029999999,A,2,1,1,0,4,0,4,2,NA,3,1,5,5,1941,1,2,3,7,5,3,3,9.317118644714355,0.3646836071994714
14111979,11979,06413,2,41.2575059999999,-72.5098859999999,A,2,1,3,2,5,0,3,NA,NA,2,1,3,2,1952,2,2,3,9,5,2,2,27.191993377037047,0.06601445970648802
14112233,12233,06460,5,41.216808,-73.021191,A,1,1,1,3,6,0,2,2,NA,2,1,3,2,1950,1,2,3,5,5,4,1,6.889163494110107,0.17481100457569496
14112830,12830,06437,3,41.2732639999999,-72.671783,A,1,1,1,2,6,2,4,2,NA,1,2,2,2,1959,1,2,3,4,4,4,5,4.830262660980225,0.09028229100549302
14112939,12939,06475,2,41.284367,-72.389576,A,1,1,1,6,7,2,3,1,2,1,2,4,3,1943,2,2,3,9,2,3,3,4.872532367706299,0.15393251985646278
14113052,13052,06413,2,41.274535,-72.534316,A,1,1,1,3,2,0,3,2,NA,2,1,3,2,1942,1,2,3,4,4,3,3,4.03283166885376,0.04043896072299576
14113238,13238,06516,4,41.257162,-72.951362,A,1,1,1,3,1,1,3,1,1,1,4,2,2,1924,2,2,3,4,1,4,1,2.404446601867676,0.09632485195176557
14113321,13321,06512,2,41.272302,-72.8714899999999,A,1,1,1,3,4,0,3,2,NA,2,1,1,1,1939,1,2,3,4,5,4,1,6.500751972198486,0.22330203128538648
14113528,13528,06516,4,41.2586689999999,-72.951603,A,2,1,1,1,1,0,4,2,NA,2,1,3,1,1966,1,2,3,4,3,3,5,4.420863151550293,0.20022862956984036
14113535,13535,06512,5,41.247199,-72.877499,A,1,1,1,2,1,0,1,2,NA,2,1,2,1,1939,1,2,3,5,2,1,1,8.220253944396973,0.13761615045720363
14113573,13573,06385,1,41.305779,-72.124024,A,1,1,1,2,4,0,3,2,NA,2,1,4,2,1954,2,2,4,7,5,2,2,7.763484001159668,0.12270417752723074
14113747,13747,06880,2,41.1481039999999,-73.363262,A,1,1,1,2,7,1,5,1,1,1,5,5,4,1953,2,2,2,4,1,3,2,3.816157341003418,0.03431038256863186
14113786,13786,06880,2,41.111747,-73.378189,A,1,1,1,2,5,0,5,2,NA,1,1,3,2,1947,1,2,3,7,6,3,3,5.116144180297852,0.07103193855987305
14113845,13845,06475,1,41.2834459999999,-72.3983989999999,A,2,1,2,2,5,0,3,NA,NA,2,1,5,5,1951,2,2,3,5,4,3,2,11.487623892707825,0.1783310492232409
14114093,14093,06512,4,41.2487569999999,-72.874609,A,1,1,1,2,1,0,5,2,NA,1,1,1,NA,1955,2,2,3,4,2,1,5,6.798585414886475,0.2572271507544267
14114238,14238,06382,1,41.449027,-72.09998,A,1,1,1,5,2,1,4,1,1,1,1,5,2,1987,2,2,3,6,3,3,6,8.00080680847168,0.04190041320408184
14114246,14246,06460,1,41.222746,-73.0446419999999,A,1,1,2,1,7,0,2,2,NA,2,3,5,3,1974,1,2,2,7,5,3,6,7.91050910949707,0.25425602626944194
14114416,14416,06512,3,41.262933,-72.892012,A,1,1,1,2,7,2,5,1,2,1,1,4,4,1952,2,2,3,6,4,2,2,1.951547980308533,0.08617391557447893
14114504,14504,06512,3,41.258406,-72.891011,A,1,1,1,2,5,1,3,1,1,1,2,4,NA,1949,2,2,7,4,2,3,4,1.391478776931763,0.06696302431985086
14114557,14557,06615,1,41.180577,-73.1369899999999,A,1,2,1,3,3,1,4,1,1,1,1,5,3,1959,2,2,1,4,3,3,2,4.195582866668701,0.5183144498584523
14114788,14788,06475,3,41.267229,-72.374857,A,1,1,1,4,5,1,4,1,1,1,4,4,4,1947,2,2,3,9,5,3,5,5.918234825134277,0.11336959871629887
